Chave= dinovo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= kinext; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= triste; Valor= -1; Escore Total= -3.0; Número de vezes em que aparece= 3
Chave= viajando; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= umas; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= creme; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= traz; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= radiojornal; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= falha; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= acordei; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= casaq; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= delivery; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= adiantado; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= parte; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= nick; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= promosd; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= falomesmo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= animacao; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= resto; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= donkey; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= embora; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= ipleiria; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= baixando; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= tedio; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= boneca; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= aprendemos; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= ferias; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 3
Chave= brandsclub; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= controles; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= peru; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= pior; Valor= -1; Escore Total= -4.0; Número de vezes em que aparece= 4
Chave= legalvamo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= promo; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 4
Chave= inspiradoras; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= banheiroele; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= velhos; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= chuva; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 3
Chave= eletrico; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= paulinhooloopes; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= jah; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= partidas; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 9
Chave= culpa; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= dancadosfamosos; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= comigo; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= hihi; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= adoreiiii; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= sdk; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= perceber; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= tweet; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= ataque; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= cruz; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= alana; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= fdp; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= muscular; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= perdi; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= base; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= nintendo; Valor= 0; Escore Total= 15.0; Número de vezes em que aparece= 68
Chave= logo; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 3
Chave= tumulo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= namorando; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= samuel; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= inscrito; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= gosta; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 3
Chave= produto; Valor= -1; Escore Total= -3.0; Número de vezes em que aparece= 3
Chave= guitar; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= beber; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= duos; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= chegou; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= huhuahauh; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= parabensminhaamiga; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= faca; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 3
Chave= emuladores; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= pmmb; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= apresenta; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 3
Chave= rock; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= grupo; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= precisarei; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= face; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= dancarinos; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= stop; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= postar; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= uxaaaa; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= mostrar; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= barrada; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= demorando; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= gosto; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 4
Chave= exato; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= cento; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= demoraram; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= thanksjimcarey; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= maaaanoooo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= pqp; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= kkk; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 4
Chave= skype; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= nota; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= vista; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 3
Chave= fazendo; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 4
Chave= apenas; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 10
Chave= trata; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= windows; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 4
Chave= faco; Valor= 1; Escore Total= 3.0; Número de vezes em que aparece= 3
Chave= precisava; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= vidas; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= idiota; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= autorizada; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= note; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= gnt; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= almoco; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= sei; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 7
Chave= gestao; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= fem; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= palhacada; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= uhsauhsauhsa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= cruzar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= nasceu; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= sem; Valor= 0; Escore Total= -5.0; Número de vezes em que aparece= 13
Chave= clipe; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= fraquissimo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= xixi; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= presta; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= bate; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= lua; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= torneio; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= fmgames; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= larga; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= roda; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= webserie; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= jeito; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 3
Chave= voltar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= steel; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= ser; Valor= 0; Escore Total= -4.0; Número de vezes em que aparece= 13
Chave= ericsson; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 3
Chave= lindooo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= fazenda; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= corrigimos; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= adotando; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= giuliafrota; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= pra; Valor= 0; Escore Total= 4.0; Número de vezes em que aparece= 76
Chave= disser; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= seu; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 22
Chave= fome; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= canguru; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= shiftdel; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= lifecam; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= fez; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 6
Chave= fada; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= bing; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 6
Chave= melhoresdoano; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= ligacao; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= fantastico; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= chegandoque; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= ganhaar; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= alphaville; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= baixos; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= diario; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= supernintendomaniacs; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= cabelo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= amei; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= rodo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= perez; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= toh; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= gol; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= pokemon; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 3
Chave= pro; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 15
Chave= poucos; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= informacoes; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 4
Chave= tatoo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= excelente; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= satisfeito; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= oii; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= morrendo; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= too; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= cadastrese; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= top; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= completo; Valor= 1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= penafui; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= bnoite; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= luz; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= acabo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= privacidade; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= adooorei; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= aproveite; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= devolucao; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= incadritavel; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= problema; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= padrao; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= tou; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= inadimissivel; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= mcfly; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= fagner; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= preco; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= fazendaa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= musicas; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= vemgente; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= ganhei; Valor= 1; Escore Total= 6.0; Número de vezes em que aparece= 6
Chave= silencio; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= propaganda; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 3
Chave= dificil; Valor= 0; Escore Total= -4.0; Número de vezes em que aparece= 6
Chave= entra; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 3
Chave= webcam; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= muitas; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= malditooooooooooooooooooooooooo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= liibra; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= lilieventosuolcombr; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= hauhahaha; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= tinha; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= terminamos; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= revenda; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= completa; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= ipad; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 3
Chave= parede; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= entre; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= liindooss; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= novos; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= sabe; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 10
Chave= chorarem; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= yoshi; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= muiiiiito; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= anos; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 9
Chave= lalahferreira; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= hackearam; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= psn; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= loja; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 8
Chave= levando; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= twitcam; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= dura; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= addicionou; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= ficou; Valor= 1; Escore Total= 3.0; Número de vezes em que aparece= 3
Chave= matematica; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= tirei; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= fael; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= psp; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= nova; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 5
Chave= aaa; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= vagalume; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= css; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= adoro; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= lvu; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= bateria; Valor= 1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= decepcionante; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= leiloa; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 3
Chave= lembreei; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= amanheceu; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= muitaa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= enfim; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= igreja; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
